t,x,y,z
0,0,0,1
0,0,1,0.79189
0,0,2,0.627089
0,0,3,0.496585
0,0,4,0.393241
0,0,5,0.311403
0,0,6,0.246597
0,0,7,0.195278
0,0,8,0.154638
0,0,9,0.122456
0,1,0,0.42786
0,1,1,0.338818
0,1,2,0.268306
0,1,3,0.212469
0,1,4,0.168252
0,1,5,0.133237
0,1,6,0.105509
0,1,7,0.0835514
0,1,8,0.0661635
0,1,9,0.0523942
0,2,0,-0.260961
0,2,1,-0.206652
0,2,2,-0.163646
0,2,3,-0.129589
0,2,4,-0.102621
0,2,5,-0.0812641
0,2,6,-0.0643522
0,2,7,-0.0509599
0,2,8,-0.0403546
0,2,9,-0.0319564
0,3,0,-0.491616
0,3,1,-0.389305
0,3,2,-0.308287
0,3,3,-0.244129
0,3,4,-0.193323
0,3,5,-0.153091
0,3,6,-0.121231
0,3,7,-0.0960015
0,3,8,-0.0760226
0,3,9,-0.0602015
0,4,0,-0.257039
0,4,1,-0.203547
0,4,2,-0.161187
0,4,3,-0.127642
0,4,4,-0.101078
0,4,5,-0.0800429
0,4,6,-0.0633851
0,4,7,-0.050194
0,4,8,-0.0397481
0,4,9,-0.0314761
0,5,0,0.0883333
0,5,1,0.0699502
0,5,2,0.0553929
0,5,3,0.043865
0,5,4,0.0347363
0,5,5,0.0275073
0,5,6,0.0217827
0,5,7,0.0172495
0,5,8,0.0136597
0,5,9,0.010817
0,6,0,0.236775
0,6,1,0.1875
0,6,2,0.148479
0,6,3,0.117579
0,6,4,0.0931096
0,6,5,0.0737325
0,6,6,0.058388
0,6,7,0.0462369
0,6,8,0.0366145
0,6,9,0.0289946
0,7,0,0.14722
0,7,1,0.116582
0,7,2,0.0923202
0,7,3,0.0731074
0,7,4,0.057893
0,7,5,0.0458448
0,7,6,0.0363041
0,7,7,0.0287488
0,7,8,0.0227659
0,7,9,0.0180281
0,8,0,-0.0224999
0,8,1,-0.0178174
0,8,2,-0.0141094
0,8,3,-0.0111731
0,8,4,-0.00884787
0,8,5,-0.00700653
0,8,6,-0.0055484
0,8,7,-0.00439372
0,8,8,-0.00347934
0,8,9,-0.00275525
0,9,0,-0.111574
0,9,1,-0.0883541
0,9,2,-0.0699667
0,9,3,-0.0554059
0,9,4,-0.0438753
0,9,5,-0.0347444
0,9,6,-0.0275137
0,9,7,-0.0217879
0,9,8,-0.0172536
0,9,9,-0.0136629
1,0,0,0.468035
1,0,1,0.370632
1,0,2,0.2935
1,0,3,0.232419
1,0,4,0.18405
1,0,5,0.145748
1,0,6,0.115416
1,0,7,0.0913967
1,0,8,0.0723761
1,0,9,0.0573139
1,1,0,0.633959
1,1,1,0.502025
1,1,2,0.397549
1,1,3,0.314815
1,1,4,0.249298
1,1,5,0.197417
1,1,6,0.156332
1,1,7,0.123798
1,1,8,0.0980343
1,1,9,0.0776323
1,2,0,0.248991
1,2,1,0.197173
1,2,2,0.15614
1,2,3,0.123645
1,2,4,0.0979135
1,2,5,0.0775366
1,2,6,0.0614005
1,2,7,0.0486224
1,2,8,0.0385036
1,2,9,0.0304906
1,3,0,-0.184482
1,3,1,-0.146089
1,3,2,-0.115687
1,3,3,-0.091611
1,3,4,-0.0725458
1,3,5,-0.0574483
1,3,6,-0.0454927
1,3,7,-0.0360252
1,3,8,-0.028528
1,3,9,-0.022591
1,4,0,-0.314004
1,4,1,-0.248657
1,4,2,-0.196909
1,4,3,-0.15593
1,4,4,-0.123479
1,4,5,-0.097782
1,4,6,-0.0774325
1,4,7,-0.061318
1,4,8,-0.0485571
1,4,9,-0.0384519
1,5,0,-0.153013
1,5,1,-0.121169
1,5,2,-0.0959528
1,5,3,-0.0759841
1,5,4,-0.060171
1,5,5,-0.0476488
1,5,6,-0.0377326
1,5,7,-0.02988
1,5,8,-0.0236617
1,5,9,-0.0187374
1,6,0,0.0659724
1,6,1,0.0522429
1,6,2,0.0413706
1,6,3,0.0327609
1,6,4,0.025943
1,6,5,0.020544
1,6,6,0.0162686
1,6,7,0.0128829
1,6,8,0.0102019
1,6,9,0.00807875
1,7,0,0.152407
1,7,1,0.120689
1,7,2,0.0955726
1,7,3,0.075683
1,7,4,0.0599325
1,7,5,0.04746
1,7,6,0.037583
1,7,7,0.0297616
1,7,8,0.0235679
1,7,9,0.0186632
1,8,0,0.0890468
1,8,1,0.0705153
1,8,2,0.0558403
1,8,3,0.0442194
1,8,4,0.0350168
1,8,5,0.0277295
1,8,6,0.0219587
1,8,7,0.0173888
1,8,8,0.01377
1,8,9,0.0109044
1,9,0,-0.0193735
1,9,1,-0.0153417
1,9,2,-0.0121489
1,9,3,-0.00962059
1,9,4,-0.00761845
1,9,5,-0.00603297
1,9,6,-0.00477745
1,9,7,-0.00378321
1,9,8,-0.00299588
1,9,9,-0.00237241
2,0,0,-0.204569
2,0,1,-0.161996
2,0,2,-0.128283
2,0,3,-0.101586
2,0,4,-0.0804447
2,0,5,-0.0637033
2,0,6,-0.050446
2,0,7,-0.0399477
2,0,8,-0.0316341
2,0,9,-0.0250507
2,1,0,0.318452
2,1,1,0.252179
2,1,2,0.199698
2,1,3,0.158138
2,1,4,0.125228
2,1,5,0.0991669
2,1,6,0.0785292
2,1,7,0.0621865
2,1,8,0.0492448
2,1,9,0.0389965
2,2,0,0.400788
2,2,1,0.31738
2,2,2,0.25133
2,2,3,0.199025
2,2,4,0.157606
2,2,5,0.124807
2,2,6,0.0988331
2,2,7,0.0782649
2,2,8,0.0619772
2,2,9,0.0490791
2,3,0,0.143265
2,3,1,0.11345
2,3,2,0.0898397
2,3,3,0.0711431
2,3,4,0.0563375
2,3,5,0.0446131
2,3,6,0.0353286
2,3,7,0.0279764
2,3,8,0.0221542
2,3,9,0.0175437
2,4,0,-0.128736
2,4,1,-0.101944
2,4,2,-0.0807287
2,4,3,-0.0639282
2,4,4,-0.0506241
2,4,5,-0.0400887
2,4,6,-0.0317458
2,4,7,-0.0251392
2,4,8,-0.0199074
2,4,9,-0.0157645
2,5,0,-0.200001
2,5,1,-0.158379
2,5,2,-0.125419
2,5,3,-0.0993176
2,5,4,-0.0786486
2,5,5,-0.062281
2,5,6,-0.0493197
2,5,7,-0.0390557
2,5,8,-0.0309278
2,5,9,-0.0244914
2,6,0,-0.0904163
2,6,1,-0.0715997
2,6,2,-0.0566991
2,6,3,-0.0448994
2,6,4,-0.0355554
2,6,5,-0.0281559
2,6,6,-0.0222964
2,6,7,-0.0176563
2,6,8,-0.0139818
2,6,9,-0.0110721
2,7,0,0.0480476
2,7,1,0.0380484
2,7,2,0.0301301
2,7,3,0.0238597
2,7,4,0.0188943
2,7,5,0.0149622
2,7,6,0.0118484
2,7,7,0.00938262
2,7,8,0.00743
2,7,9,0.00588374
2,8,0,0.0978143
2,8,1,0.0774581
2,8,2,0.0613383
2,8,3,0.0485732
2,8,4,0.0384646
2,8,5,0.0304597
2,8,6,0.0241207
2,8,7,0.0191009
2,8,8,0.0151258
2,8,9,0.011978
2,9,0,0.0535715
2,9,1,0.0424227
2,9,2,0.0335941
2,9,3,0.0266028
2,9,4,0.0210665
2,9,5,0.0166823
2,9,6,0.0132106
2,9,7,0.0104613
2,9,8,0.0082842
2,9,9,0.00656017
3,0,0,-0.492288
3,0,1,-0.389838
3,0,2,-0.308709
3,0,3,-0.244463
3,0,4,-0.193588
3,0,5,-0.1533
3,0,6,-0.121397
3,0,7,-0.0961328
3,0,8,-0.0761266
3,0,9,-0.0602838
3,1,0,-0.109341
3,1,1,-0.0865858
3,1,2,-0.0685664
3,1,3,-0.054297
3,1,4,-0.0429972
3,1,5,-0.034049
3,1,6,-0.0269631
3,1,7,-0.0213518
3,1,8,-0.0169083
3,1,9,-0.0133895
3,2,0,0.215144
3,2,1,0.17037
3,2,2,0.134914
3,2,3,0.106837
3,2,4,0.0846032
3,2,5,0.0669964
3,2,6,0.0530537
3,2,7,0.0420127
3,2,8,0.0332694
3,2,9,0.0263457
3,3,0,0.252669
3,3,1,0.200086
3,3,2,0.158446
3,3,3,0.125472
3,3,4,0.0993597
3,3,5,0.0786819
3,3,6,0.0623074
3,3,7,0.0493406
3,3,8,0.0390723
3,3,9,0.0309409
3,4,0,0.0812995
3,4,1,0.0643802
3,4,2,0.050982
3,4,3,0.0403721
3,4,4,0.0319703
3,4,5,0.0253169
3,4,6,0.0200482
3,4,7,0.015876
3,4,8,0.012572
3,4,9,0.00995565
3,5,0,-0.0888763
3,5,1,-0.0703802
3,5,2,-0.0557334
3,5,3,-0.0441347
3,5,4,-0.0349498
3,5,5,-0.0276764
3,5,6,-0.0219166
3,5,7,-0.0173555
3,5,8,-0.0137437
3,5,9,-0.0108835
3,6,0,-0.127035
3,6,1,-0.100598
3,6,2,-0.0796624
3,6,3,-0.0630838
3,6,4,-0.0499554
3,6,5,-0.0395592
3,6,6,-0.0313265
3,6,7,-0.0248071
3,6,8,-0.0196445
3,6,9,-0.0155563
3,7,0,-0.0529732
3,7,1,-0.0419489
3,7,2,-0.0332189
3,7,3,-0.0263057
3,7,4,-0.0208312
3,7,5,-0.016496
3,7,6,-0.013063
3,7,7,-0.0103445
3,7,8,-0.00819168
3,7,9,-0.00648691
3,8,0,0.0343322
3,8,1,0.0271873
3,8,2,0.0215294
3,8,3,0.0170489
3,8,4,0.0135008
3,8,5,0.0106912
3,8,6,0.00846623
3,8,7,0.00670432
3,8,8,0.00530908
3,8,9,0.0042042
3,9,0,0.0625977
3,9,1,0.0495704
3,9,2,0.0392543
3,9,3,0.0310851
3,9,4,0.0246159
3,9,5,0.0194931
3,9,6,0.0154364
3,9,7,0.0122239
3,9,8,0.00967999
3,9,9,0.00766549
4,0,0,-0.329343
4,0,1,-0.260804
4,0,2,-0.206528
4,0,3,-0.163547
4,0,4,-0.129511
4,0,5,-0.102559
4,0,6,-0.0812151
4,0,7,-0.0643134
4,0,8,-0.0509291
4,0,9,-0.0403302
4,1,0,-0.307014
