t,x,y,z
0,0,0,1
0,0,1,0.967216
0,0,2,0.935507
0,0,3,0.904837
0,0,4,0.875173
0,0,5,0.846482
0,0,6,0.818731
0,0,7,0.79189
0,0,8,0.765928
0,0,9,0.740818
0,1,0,0.873251
0,1,1,0.844622
0,1,2,0.816932
0,1,3,0.79015
0,1,4,0.764246
0,1,5,0.739191
0,1,6,0.714957
0,1,7,0.691518
0,1,8,0.668847
0,1,9,0.64692
0,2,0,0.589627
0,2,1,0.570296
0,2,2,0.5516
0,2,3,0.533516
0,2,4,0.516026
0,2,5,0.499108
0,2,6,0.482746
0,2,7,0.466919
0,2,8,0.451612
0,2,9,0.436806
0,3,0,0.212852
0,3,1,0.205874
0,3,2,0.199124
0,3,3,0.192596
0,3,4,0.186282
0,3,5,0.180175
0,3,6,0.174268
0,3,7,0.168555
0,3,8,0.163029
0,3,9,0.157684
0,4,0,-0.179854
0,4,1,-0.173958
0,4,2,-0.168255
0,4,3,-0.162739
0,4,4,-0.157403
0,4,5,-0.152243
0,4,6,-0.147252
0,4,7,-0.142425
0,4,8,-0.137755
0,4,9,-0.133239
0,5,0,-0.51324
0,5,1,-0.496414
0,5,2,-0.480139
0,5,3,-0.464398
0,5,4,-0.449174
0,5,5,-0.434448
0,5,6,-0.420205
0,5,7,-0.406429
0,5,8,-0.393105
0,5,9,-0.380217
0,6,0,-0.728119
0,6,1,-0.704248
0,6,2,-0.68116
0,6,3,-0.658829
0,6,4,-0.63723
0,6,5,-0.616339
0,6,6,-0.596133
0,6,7,-0.57659
0,6,8,-0.557687
0,6,9,-0.539404
0,7,0,-0.791522
0,7,1,-0.765573
0,7,2,-0.740474
0,7,3,-0.716198
0,7,4,-0.692719
0,7,5,-0.670009
0,7,6,-0.648043
0,7,7,-0.626798
0,7,8,-0.606249
0,7,9,-0.586374
0,8,0,-0.701233
0,8,1,-0.678244
0,8,2,-0.656009
0,8,3,-0.634502
0,8,4,-0.613701
0,8,5,-0.593581
0,8,6,-0.574121
0,8,7,-0.555299
0,8,8,-0.537095
0,8,9,-0.519486
0,9,0,-0.484231
0,9,1,-0.468356
0,9,2,-0.453002
0,9,3,-0.43815
0,9,4,-0.423786
0,9,5,-0.409893
0,9,6,-0.396455
0,9,7,-0.383458
0,9,8,-0.370886
0,9,9,-0.358727
1,0,0,0.873251
1,0,1,0.844622
1,0,2,0.816932
1,0,3,0.79015
1,0,4,0.764246
1,0,5,0.739191
1,0,6,0.714957
1,0,7,0.691518
1,0,8,0.668847
1,0,9,0.64692
1,1,0,0.762567
1,1,1,0.737567
1,1,2,0.713387
1,1,3,0.689999
1,1,4,0.667378
1,1,5,0.645499
1,1,6,0.624337
1,1,7,0.603869
1,1,8,0.584072
1,1,9,0.564923
1,2,0,0.514892
1,2,1,0.498012
1,2,2,0.481685
1,2,3,0.465894
1,2,4,0.45062
1,2,5,0.435847
1,2,6,0.421558
1,2,7,0.407738
1,2,8,0.39437
1,2,9,0.381441
1,3,0,0.185873
1,3,1,0.179779
1,3,2,0.173885
1,3,3,0.168185
1,3,4,0.162671
1,3,5,0.157338
1,3,6,0.15218
1,3,7,0.147191
1,3,8,0.142365
1,3,9,0.137698
1,4,0,-0.157058
1,4,1,-0.151909
1,4,2,-0.146929
1,4,3,-0.142112
1,4,4,-0.137453
1,4,5,-0.132946
1,4,6,-0.128588
1,4,7,-0.124372
1,4,8,-0.120295
1,4,9,-0.116351
1,5,0,-0.448187
1,5,1,-0.433494
1,5,2,-0.419282
1,5,3,-0.405536
1,5,4,-0.392241
1,5,5,-0.379382
1,5,6,-0.366944
1,5,7,-0.354914
1,5,8,-0.343279
1,5,9,-0.332025
1,6,0,-0.63583
1,6,1,-0.614985
1,6,2,-0.594824
1,6,3,-0.575323
1,6,4,-0.556462
1,6,5,-0.538219
1,6,6,-0.520574
1,6,7,-0.503508
1,6,8,-0.487001
1,6,9,-0.471035
1,7,0,-0.691197
1,7,1,-0.668537
1,7,2,-0.64662
1,7,3,-0.625421
1,7,4,-0.604917
1,7,5,-0.585086
1,7,6,-0.565904
1,7,7,-0.547352
1,7,8,-0.529407
1,7,9,-0.512051
1,8,0,-0.612353
1,8,1,-0.592277
1,8,2,-0.57286
1,8,3,-0.55408
1,8,4,-0.535915
1,8,5,-0.518345
1,8,6,-0.501352
1,8,7,-0.484916
1,8,8,-0.469018
1,8,9,-0.453642
1,9,0,-0.422855
1,9,1,-0.408992
1,9,2,-0.395584
1,9,3,-0.382615
1,9,4,-0.370072
1,9,5,-0.357939
1,9,6,-0.346205
1,9,7,-0.334855
1,9,8,-0.323877
1,9,9,-0.313259
2,0,0,0.589627
2,0,1,0.570296
2,0,2,0.5516
2,0,3,0.533516
2,0,4,0.516026
2,0,5,0.499108
2,0,6,0.482746
2,0,7,0.466919
2,0,8,0.451612
2,0,9,0.436806
2,1,0,0.514892
2,1,1,0.498012
2,1,2,0.481685
2,1,3,0.465894
2,1,4,0.45062
2,1,5,0.435847
2,1,6,0.421558
2,1,7,0.407738
2,1,8,0.39437
2,1,9,0.381441
2,2,0,0.34766
2,2,1,0.336262
2,2,2,0.325238
2,2,3,0.314575
2,2,4,0.304262
2,2,5,0.294288
2,2,6,0.28464
2,2,7,0.275308
2,2,8,0.266282
2,2,9,0.257553
2,3,0,0.125503
2,3,1,0.121389
2,3,2,0.117409
2,3,3,0.11356
2,3,4,0.109837
2,3,5,0.106236
2,3,6,0.102753
2,3,7,0.0993846
2,3,8,0.0961264
2,3,9,0.092975
2,4,0,-0.106047
2,4,1,-0.10257
2,4,2,-0.0992074
2,4,3,-0.095955
2,4,4,-0.0928093
2,4,5,-0.0897666
2,4,6,-0.0868237
2,4,7,-0.0839773
2,4,8,-0.0812242
2,4,9,-0.0785613
2,5,0,-0.30262
2,5,1,-0.292699
2,5,2,-0.283103
2,5,3,-0.273822
2,5,4,-0.264845
2,5,5,-0.256162
2,5,6,-0.247764
2,5,7,-0.239641
2,5,8,-0.231785
2,5,9,-0.224186
2,6,0,-0.429318
2,6,1,-0.415244
2,6,2,-0.40163
2,6,3,-0.388463
2,6,4,-0.375728
2,6,5,-0.36341
2,6,6,-0.351496
2,6,7,-0.339973
2,6,8,-0.328827
2,6,9,-0.318047
2,7,0,-0.466702
2,7,1,-0.451402
2,7,2,-0.436603
2,7,3,-0.42229
2,7,4,-0.408445
2,7,5,-0.395055
2,7,6,-0.382104
2,7,7,-0.369577
2,7,8,-0.357461
2,7,9,-0.345742
2,8,0,-0.413466
2,8,1,-0.399911
2,8,2,-0.3868
2,8,3,-0.374119
2,8,4,-0.361854
2,8,5,-0.349991
2,8,6,-0.338517
2,8,7,-0.327419
2,8,8,-0.316685
2,8,9,-0.306303
2,9,0,-0.285516
2,9,1,-0.276155
2,9,2,-0.267102
2,9,3,-0.258345
2,9,4,-0.249876
2,9,5,-0.241684
2,9,6,-0.23376
2,9,7,-0.226097
2,9,8,-0.218684
2,9,9,-0.211515
3,0,0,0.212852
3,0,1,0.205874
3,0,2,0.199124
3,0,3,0.192596
3,0,4,0.186282
3,0,5,0.180175
3,0,6,0.174268
3,0,7,0.168555
3,0,8,0.163029
3,0,9,0.157684
3,1,0,0.185873
3,1,1,0.179779
3,1,2,0.173885
3,1,3,0.168185
3,1,4,0.162671
3,1,5,0.157338
3,1,6,0.15218
3,1,7,0.147191
3,1,8,0.142365
3,1,9,0.137698
3,2,0,0.125503
3,2,1,0.121389
3,2,2,0.117409
3,2,3,0.11356
3,2,4,0.109837
3,2,5,0.106236
3,2,6,0.102753
3,2,7,0.0993846
3,2,8,0.0961264
3,2,9,0.092975
3,3,0,0.0453059
3,3,1,0.0438206
3,3,2,0.042384
3,3,3,0.0409944
3,3,4,0.0396505
3,3,5,0.0383506
3,3,6,0.0370933
3,3,7,0.0358772
3,3,8,0.0347011
3,3,9,0.0335634
3,4,0,-0.0382822
3,4,1,-0.0370272
3,4,2,-0.0358133
3,4,3,-0.0346392
3,4,4,-0.0335036
3,4,5,-0.0324052
3,4,6,-0.0313428
3,4,7,-0.0303153
3,4,8,-0.0293215
3,4,9,-0.0283602
3,5,0,-0.109244
3,5,1,-0.105663
3,5,2,-0.102198
3,5,3,-0.098848
3,5,4,-0.0956074
3,5,5,-0.092473
3,5,6,-0.0894414
3,5,7,-0.0865091
3,5,8,-0.083673
3,5,9,-0.0809299
3,6,0,-0.154981
3,6,1,-0.149901
3,6,2,-0.144986
3,6,3,-0.140233
3,6,4,-0.135636
3,6,5,-0.131189
3,6,6,-0.126888
3,6,7,-0.122728
3,6,8,-0.118705
3,6,9,-0.114813
3,7,0,-0.168477
3,7,1,-0.162953
3,7,2,-0.157611
3,7,3,-0.152444
3,7,4,-0.147446
3,7,5,-0.142613
3,7,6,-0.137937
3,7,7,-0.133415
3,7,8,-0.129041
3,7,9,-0.124811
3,8,0,-0.149259
3,8,1,-0.144365
3,8,2,-0.139633
3,8,3,-0.135055
3,8,4,-0.130627
3,8,5,-0.126345
3,8,6,-0.122203
3,8,7,-0.118196
3,8,8,-0.114322
3,8,9,-0.110574
3,9,0,-0.103069
3,9,1,-0.0996904
3,9,2,-0.0964222
3,9,3,-0.0932611
3,9,4,-0.0902036
3,9,5,-0.0872464
3,9,6,-0.0843861
3,9,7,-0.0816196
3,9,8,-0.0789438
3,9,9,-0.0763557
4,0,0,-0.179854
4,0,1,-0.173958
4,0,2,-0.168255
4,0,3,-0.162739
4,0,4,-0.157403
4,0,5,-0.152243
4,0,6,-0.147252
4,0,7,-0.142425
4,0,8,-0.137755
4,0,9,-0.133239
4,1,0,-0.157058
4,1,1,-0.151909
4,1,2,-0.146929
4,1,3,-0.142112
4,1,4,-0.137453
4,1,5,-0.132946
4,1,6,-0.128588
4,1,7,-0.124372
4,1,8,-0.120295
4,1,9,-0.116351
4,2,0,-0.106047
4,2,1,-0.10257
4,2,2,-0.0992074
4,2,3,-0.095955
4,2,4,-0.0928093
4,2,5,-0.0897666
4,2,6,-0.0868237
4,2,7,-0.0839773
4,2,8,-0.0812242
4,2,9,-0.0785613
4,3,0,-0.0382822
4,3,1,-0.0370272
4,3,2,-0.0358133
4,3,3,-0.0346392
4,3,4,-0.0335036
4,3,5,-0.0324052
4,3,6,-0.0313428
4,3,7,-0.0303153
4,3,8,-0.0293215
4,3,9,-0.0283602
4,4,0,0.0323475
4,4,1,0.031287
4,4,2,0.0302613
4,4,3,0.0292692
4,4,4,0.0283096
4,4,5,0.0273815
4,4,6,0.0264839
4,4,7,0.0256156
4,4,8,0.0247758
4,4,9,0.0239636
4,5,0,0.0923082
4,5,1,0.089282
4,5,2,0.086355
4,5,3,0.0835239
4,5,4,0.0807857
4,5,5,0.0781372
4,5,6,0.0755756
4,5,7,0.0730979
4,5,8,0.0707015
4,5,9,0.0683836
4,6,0,0.130955
4,6,1,0.126662
4,6,2,0.122509
4,6,3,0.118493
4,6,4,0.114608
4,6,5,0.110851
4,6,6,0.107217
4,6,7,0.103702
4,6,8,0.100302
4,6,9,0.0970139
4,7,0,0.142358
4,7,1,0.137691
4,7,2,0.133177
4,7,3,0.128811
4,7,4,0.124588
4,7,5,0.120504
4,7,6,0.116553
4,7,7,0.112732
4,7,8,0.109036
4,7,9,0.105462
4,8,0,0.12612
4,8,1,0.121985
4,8,2,0.117986
4,8,3,0.114118
4,8,4,0.110377
4,8,5,0.106758
4,8,6,0.103258
4,8,7,0.0998728
4,8,8,0.0965986
4,8,9,0.0934317
4,9,0,0.0870909
4,9,1,0.0842357
4,9,2,0.0814741
4,9,3,0.0788031
4,9,4,0.0762196
4,9,5,0.0737209
4,9,6,0.071304
4,9,7,0.0689664
4,9,8,0.0667054
4,9,9,0.0645185
5,0,0,-0.51324
5,0,1,-0.496414
5,0,2,-0.480139
5,0,3,-0.464398
5,0,4,-0.449174
5,0,5,-0.434448
5,0,6,-0.420205
5,0,7,-0.406429
5,0,8,-0.393105
5,0,9,-0.380217
5,1,0,-0.448187
5,1,1,-0.433494
5,1,2,-0.419282
5,1,3,-0.405536
5,1,4,-0.392241
5,1,5,-0.379382
5,1,6,-0.366944
5,1,7,-0.354914
5,1,8,-0.343279
5,1,9,-0.332025
5,2,0,-0.30262
5,2,1,-0.292699
5,2,2,-0.283103
5,2,3,-0.273822
5,2,4,-0.264845
5,2,5,-0.256162
5,2,6,-0.247764
5,2,7,-0.239641
5,2,8,-0.231785
5,2,9,-0.224186
5,3,0,-0.109244
5,3,1,-0.105663
5,3,2,-0.102198
5,3,3,-0.098848
5,3,4,-0.0956074
5,3,5,-0.092473
5,3,6,-0.0894414
5,3,7,-0.0865091
5,3,8,-0.083673
5,3,9,-0.0809299
5,4,0,0.0923082
5,4,1,0.089282
5,4,2,0.086355
5,4,3,0.0835239
5,4,4,0.0807857
5,4,5,0.0781372
5,4,6,0.0755756
5,4,7,0.0730979
5,4,8,0.0707015
5,4,9,0.0683836
5,5,0,0.263415
5,5,1,0.254779
5,5,2,0.246426
5,5,3,0.238348
5,5,4,0.230534
5,5,5,0.222976
5,5,6,0.215666
5,5,7,0.208595
5,5,8,0.201757
5,5,9,0.195143
5,6,0,0.373699
5,6,1,0.361448
5,6,2,0.349598
5,6,3,0.338137
5,6,4,0.327052
5,6,5,0.31633
5,6,6,0.305959
5,6,7,0.295929
5,6,8,0.286227
5,6,9,0.276843
5,7,0,0.40624
5,7,1,0.392922
5,7,2,0.380041
5,7,3,0.367581
5,7,4,0.355531
5,7,5,0.343875
5,7,6,0.332601
5,7,7,0.321697
5,7,8,0.311151
5,7,9,0.30095
5,8,0,0.359901
5,8,1,0.348102
5,8,2,0.33669
5,8,3,0.325652
5,8,4,0.314976
5,8,5,0.304649
5,8,6,0.294662
5,8,7,0.285002
5,8,8,0.275658
5,8,9,0.266621
5,9,0,0.248527
5,9,1,0.240379
5,9,2,0.232498
5,9,3,0.224876
5,9,4,0.217504
5,9,5,0.210373
5,9,6,0.203476
5,9,7,0.196806
5,9,8,0.190354
5,9,9,0.184113
6,0,0,-0.728119
6,0,1,-0.704248
6,0,2,-0.68116
6,0,3,-0.658829
6,0,4,-0.63723
6,0,5,-0.616339
6,0,6,-0.596133
6,0,7,-0.57659
6,0,8,-0.557687
6,0,9,-0.539404
6,1,0,-0.63583
6,1,1,-0.614985
6,1,2,-0.594824
6,1,3,-0.575323
6,1,4,-0.556462
6,1,5,-0.538219
6,1,6,-0.520574
6,1,7,-0.503508
6,1,8,-0.487001
6,1,9,-0.471035
6,2,0,-0.429318
6,2,1,-0.415244
6,2,2,-0.40163
6,2,3,-0.388463
6,2,4,-0.375728
6,2,5,-0.36341
6,2,6,-0.351496
6,2,7,-0.339973
6,2,8,-0.328827
6,2,9,-0.318047
6,3,0,-0.154981
6,3,1,-0.149901
6,3,2,-0.144986
6,3,3,-0.140233
6,3,4,-0.135636
6,3,5,-0.131189
6,3,6,-0.126888
6,3,7,-0.122728
6,3,8,-0.118705
6,3,9,-0.114813
6,4,0,0.130955
6,4,1,0.126662
6,4,2,0.122509
6,4,3,0.118493
6,4,4,0.114608
6,4,5,0.110851
6,4,6,0.107217
6,4,7,0.103702
6,4,8,0.100302
6,4,9,0.0970139
6,5,0,0.373699
6,5,1,0.361448
6,5,2,0.349598
6,5,3,0.338137
6,5,4,0.327052
6,5,5,0.31633
6,5,6,0.305959
6,5,7,0.295929
6,5,8,0.286227
6,5,9,0.276843
6,6,0,0.530157
6,6,1,0.512777
6,6,2,0.495966
6,6,3,0.479706
6,6,4,0.46398
6,6,5,0.448768
6,6,6,0.434056
6,6,7,0.419826
6,6,8,0.406062
6,6,9,0.39275
6,7,0,0.576322
6,7,1,0.557428
6,7,2,0.539153
6,7,3,0.521478
6,7,4,0.504382
6,7,5,0.487846
6,7,6,0.471853
6,7,7,0.456383
6,7,8,0.441421
6,7,9,0.42695
6,8,0,0.510581
6,8,1,0.493843
6,8,2,0.477652
6,8,3,0.461993
6,8,4,0.446847
6,8,5,0.432198
6,8,6,0.418029
6,8,7,0.404324
6,8,8,0.391069
6,8,9,0.378248
6,9,0,0.352578
6,9,1,0.341019
6,9,2,0.329839
6,9,3,0.319026
6,9,4,0.308567
6,9,5,0.298451
6,9,6,0.288666
6,9,7,0.279203
6,9,8,0.270049
6,9,9,0.261196
7,0,0,-0.791522
7,0,1,-0.765573
7,0,2,-0.740474
7,0,3,-0.716198
7,0,4,-0.692719
7,0,5,-0.670009
7,0,6,-0.648043
7,0,7,-0.626798
7,0,8,-0.606249
7,0,9,-0.586374
7,1,0,-0.691197
7,1,1,-0.668537
7,1,2,-0.64662
7,1,3,-0.625421
7,1,4,-0.604917
7,1,5,-0.585086
7,1,6,-0.565904
7,1,7,-0.547352
7,1,8,-0.529407
7,1,9,-0.512051
7,2,0,-0.466702
7,2,1,-0.451402
7,2,2,-0.436603
7,2,3,-0.42229
7,2,4,-0.408445
7,2,5,-0.395055
7,2,6,-0.382104
7,2,7,-0.369577
7,2,8,-0.357461
7,2,9,-0.345742
7,3,0,-0.168477
7,3,1,-0.162953
7,3,2,-0.157611
7,3,3,-0.152444
7,3,4,-0.147446
7,3,5,-0.142613
7,3,6,-0.137937
7,3,7,-0.133415
7,3,8,-0.129041
7,3,9,-0.124811
7,4,0,0.142358
7,4,1,0.137691
7,4,2,0.133177
7,4,3,0.128811
7,4,4,0.124588
7,4,5,0.120504
7,4,6,0.116553
7,4,7,0.112732
7,4,8,0.109036
