t,x,y,z
0,0,0,5
0,0,1,3.95945
0,0,2,3.13545
0,0,3,2.48293
0,0,4,1.9662
0,0,5,1.55702
0,0,6,1.23298
0,0,7,0.976388
0,0,8,0.773191
0,0,9,0.612282
0,1,0,2.1393
0,1,1,1.69409
0,1,2,1.34153
0,1,3,1.06234
0,1,4,0.841259
0,1,5,0.666185
0,1,6,0.527545
0,1,7,0.417757
0,1,8,0.330817
0,1,9,0.261971
0,2,0,-1.30481
0,2,1,-1.03326
0,2,2,-0.818229
0,2,3,-0.647947
0,2,4,-0.513103
0,2,5,-0.406321
0,2,6,-0.321761
0,2,7,-0.254799
0,2,8,-0.201773
0,2,9,-0.159782
0,3,0,-2.45808
0,3,1,-1.94653
0,3,2,-1.54143
0,3,3,-1.22065
0,3,4,-0.966617
0,3,5,-0.765454
0,3,6,-0.606155
0,3,7,-0.480008
0,3,8,-0.380113
0,3,9,-0.301008
0,4,0,-1.2852
0,4,1,-1.01773
0,4,2,-0.805933
0,4,3,-0.63821
0,4,4,-0.505392
0,4,5,-0.400214
0,4,6,-0.316926
0,4,7,-0.25097
0,4,8,-0.198741
0,4,9,-0.157381
0,5,0,0.441667
0,5,1,0.349751
0,5,2,0.276964
0,5,3,0.219325
0,5,4,0.173681
0,5,5,0.137536
0,5,6,0.108914
0,5,7,0.0862476
0,5,8,0.0682986
0,5,9,0.0540849
0,6,0,1.18388
0,6,1,0.937499
0,6,2,0.742395
0,6,3,0.587895
0,6,4,0.465548
0,6,5,0.368663
0,6,6,0.29194
0,6,7,0.231184
0,6,8,0.183072
0,6,9,0.144973
0,7,0,0.736101
0,7,1,0.582911
0,7,2,0.461601
0,7,3,0.365537
0,7,4,0.289465
0,7,5,0.229224
0,7,6,0.18152
0,7,7,0.143744
0,7,8,0.113829
0,7,9,0.0901403
0,8,0,-0.112499
0,8,1,-0.0890871
0,8,2,-0.0705471
0,8,3,-0.0558655
0,8,4,-0.0442393
0,8,5,-0.0350327
0,8,6,-0.027742
0,8,7,-0.0219686
0,8,8,-0.0173967
0,8,9,-0.0137763
0,9,0,-0.557869
0,9,1,-0.44177
0,9,2,-0.349833
0,9,3,-0.277029
0,9,4,-0.219377
0,9,5,-0.173722
0,9,6,-0.137569
0,9,7,-0.108939
0,9,8,-0.0862679
0,9,9,-0.0683146
1,0,0,2.34017
1,0,1,1.85316
1,0,2,1.4675
1,0,3,1.1621
1,0,4,0.920252
1,0,5,0.728738
1,0,6,0.57708
1,0,7,0.456984
1,0,8,0.361881
1,0,9,0.286569
1,1,0,3.16979
1,1,1,2.51013
1,1,2,1.98774
1,1,3,1.57407
1,1,4,1.24649
1,1,5,0.987084
1,1,6,0.781661
1,1,7,0.618989
1,1,8,0.490171
1,1,9,0.388162
1,2,0,1.24496
1,2,1,0.985867
1,2,2,0.780698
1,2,3,0.618227
1,2,4,0.489567
1,2,5,0.387683
1,2,6,0.307002
1,2,7,0.243112
1,2,8,0.192518
1,2,9,0.152453
1,3,0,-0.92241
1,3,1,-0.730447
1,3,2,-0.578433
1,3,3,-0.458055
1,3,4,-0.362729
1,3,5,-0.287241
1,3,6,-0.227463
1,3,7,-0.180126
1,3,8,-0.14264
1,3,9,-0.112955
1,4,0,-1.57002
1,4,1,-1.24328
1,4,2,-0.984544
1,4,3,-0.77965
1,4,4,-0.617397
1,4,5,-0.48891
1,4,6,-0.387163
1,4,7,-0.30659
1,4,8,-0.242785
1,4,9,-0.192259
1,5,0,-0.765066
1,5,1,-0.605847
1,5,2,-0.479764
1,5,3,-0.37992
1,5,4,-0.300855
1,5,5,-0.238244
1,5,6,-0.188663
1,5,7,-0.1494
1,5,8,-0.118308
1,5,9,-0.0936872
1,6,0,0.329862
1,6,1,0.261214
1,6,2,0.206853
1,6,3,0.163805
1,6,4,0.129715
1,6,5,0.10272
1,6,6,0.081343
1,6,7,0.0644147
1,6,8,0.0510093
1,6,9,0.0403937
1,7,0,0.762034
1,7,1,0.603447
1,7,2,0.477863
1,7,3,0.378415
1,7,4,0.299663
1,7,5,0.2373
1,7,6,0.187915
1,7,7,0.148808
1,7,8,0.11784
1,7,9,0.0933159
1,8,0,0.445234
1,8,1,0.352576
1,8,2,0.279201
1,8,3,0.221097
1,8,4,0.175084
1,8,5,0.138647
1,8,6,0.109793
1,8,7,0.0869442
1,8,8,0.0688502
1,8,9,0.0545218
1,9,0,-0.0968675
1,9,1,-0.0767083
1,9,2,-0.0607445
1,9,3,-0.048103
1,9,4,-0.0380922
1,9,5,-0.0301648
1,9,6,-0.0238872
1,9,7,-0.018916
1,9,8,-0.0149794
1,9,9,-0.011862
2,0,0,-1.02284
2,0,1,-0.809979
2,0,2,-0.641414
2,0,3,-0.507929
2,0,4,-0.402224
2,0,5,-0.318517
2,0,6,-0.25223
2,0,7,-0.199738
2,0,8,-0.158171
2,0,9,-0.125254
2,1,0,1.59226
2,1,1,1.26089
2,1,2,0.998488
2,1,3,0.790692
