t,x,y,z
0,0,0,5
0,0,1,4.83608
0,0,2,4.67753
0,0,3,4.52419
0,0,4,4.37587
0,0,5,4.23241
0,0,6,4.09365
0,0,7,3.95945
0,0,8,3.82964
0,0,9,3.70409
0,1,0,4.36625
0,1,1,4.22311
0,1,2,4.08466
0,1,3,3.95075
0,1,4,3.82123
0,1,5,3.69595
0,1,6,3.57479
0,1,7,3.45759
0,1,8,3.34424
0,1,9,3.2346
0,2,0,2.94813
0,2,1,2.85148
0,2,2,2.758
0,2,3,2.66758
0,2,4,2.58013
0,2,5,2.49554
0,2,6,2.41373
0,2,7,2.3346
0,2,8,2.25806
0,2,9,2.18403
0,3,0,1.06426
0,3,1,1.02937
0,3,2,0.995622
0,3,3,0.962981
0,3,4,0.931411
0,3,5,0.900876
0,3,6,0.871341
0,3,7,0.842775
0,3,8,0.815146
0,3,9,0.788422
0,4,0,-0.89927
0,4,1,-0.869788
0,4,2,-0.841273
0,4,3,-0.813693
0,4,4,-0.787017
0,4,5,-0.761216
0,4,6,-0.73626
0,4,7,-0.712123
0,4,8,-0.688776
0,4,9,-0.666196
0,5,0,-2.5662
0,5,1,-2.48207
0,5,2,-2.4007
0,5,3,-2.32199
0,5,4,-2.24587
0,5,5,-2.17224
0,5,6,-2.10103
0,5,7,-2.03215
0,5,8,-1.96552
0,5,9,-1.90109
0,6,0,-3.6406
0,6,1,-3.52124
0,6,2,-3.4058
0,6,3,-3.29415
0,6,4,-3.18615
0,6,5,-3.0817
0,6,6,-2.98067
0,6,7,-2.88295
0,6,8,-2.78843
0,6,9,-2.69702
0,7,0,-3.95761
0,7,1,-3.82786
0,7,2,-3.70237
0,7,3,-3.58099
0,7,4,-3.46359
0,7,5,-3.35004
0,7,6,-3.24022
0,7,7,-3.13399
0,7,8,-3.03124
0,7,9,-2.93187
0,8,0,-3.50617
0,8,1,-3.39122
0,8,2,-3.28004
0,8,3,-3.17251
0,8,4,-3.0685
0,8,5,-2.96791
0,8,6,-2.87061
0,8,7,-2.7765
0,8,8,-2.68547
0,8,9,-2.59743
0,9,0,-2.42116
0,9,1,-2.34178
0,9,2,-2.26501
0,9,3,-2.19075
0,9,4,-2.11893
0,9,5,-2.04946
0,9,6,-1.98227
0,9,7,-1.91729
0,9,8,-1.85443
0,9,9,-1.79364
1,0,0,4.36625
1,0,1,4.22311
1,0,2,4.08466
1,0,3,3.95075
1,0,4,3.82123
1,0,5,3.69595
1,0,6,3.57479
1,0,7,3.45759
1,0,8,3.34424
1,0,9,3.2346
1,1,0,3.81283
1,1,1,3.68783
1,1,2,3.56693
1,1,3,3.45
1,1,4,3.33689
1,1,5,3.22749
1,1,6,3.12168
1,1,7,3.01934
1,1,8,2.92036
1,1,9,2.82462
1,2,0,2.57446
1,2,1,2.49006
1,2,2,2.40843
1,2,3,2.32947
1,2,4,2.2531
1,2,5,2.17923
1,2,6,2.10779
1,2,7,2.03869
1,2,8,1.97185
1,2,9,1.90721
1,3,0,0.929365
1,3,1,0.898897
1,3,2,0.869427
1,3,3,0.840924
1,3,4,0.813355
1,3,5,0.78669
1,3,6,0.7609
1,3,7,0.735954
1,3,8,0.711827
1,3,9,0.68849
1,4,0,-0.785288
1,4,1,-0.759543
1,4,2,-0.734643
1,4,3,-0.710558
1,4,4,-0.687263
1,4,5,-0.664732
1,4,6,-0.64294
1,4,7,-0.621862
1,4,8,-0.601474
1,4,9,-0.581756
1,5,0,-2.24093
1,5,1,-2.16747
1,5,2,-2.09641
1,5,3,-2.02768
1,5,4,-1.96121
1,5,5,-1.89691
1,5,6,-1.83472
1,5,7,-1.77457
1,5,8,-1.7164
1,5,9,-1.66012
1,6,0,-3.17915
1,6,1,-3.07493
1,6,2,-2.97412
1,6,3,-2.87662
1,6,4,-2.78231
1,6,5,-2.69109
1,6,6,-2.60287
1,6,7,-2.51754
1,6,8,-2.435
1,6,9,-2.35517
