t,x,y,z
0,0,0,1
0,0,0.555556,0.79189
0,0,1.11111,0.627089
0,0,1.66667,0.496585
0,0,2.22222,0.393241
0,0,2.77778,0.311403
0,0,3.33333,0.246597
0,0,3.88889,0.195278
0,0,4.44444,0.154638
0,0,5,0.122456
0,0.555556,0,0.42786
0,0.555556,0.555556,0.338818
0,0.555556,1.11111,0.268306
0,0.555556,1.66667,0.212469
0,0.555556,2.22222,0.168252
0,0.555556,2.77778,0.133237
0,0.555556,3.33333,0.105509
0,0.555556,3.88889,0.0835514
0,0.555556,4.44444,0.0661635
0,0.555556,5,0.0523942
0,1.11111,0,-0.260961
0,1.11111,0.555556,-0.206652
0,1.11111,1.11111,-0.163646
0,1.11111,1.66667,-0.129589
0,1.11111,2.22222,-0.102621
0,1.11111,2.77778,-0.0812641
0,1.11111,3.33333,-0.0643522
0,1.11111,3.88889,-0.0509599
0,1.11111,4.44444,-0.0403546
0,1.11111,5,-0.0319564
0,1.66667,0,-0.491616
0,1.66667,0.555556,-0.389305
0,1.66667,1.11111,-0.308287
0,1.66667,1.66667,-0.244129
0,1.66667,2.22222,-0.193323
0,1.66667,2.77778,-0.153091
0,1.66667,3.33333,-0.121231
0,1.66667,3.88889,-0.0960015
0,1.66667,4.44444,-0.0760226
0,1.66667,5,-0.0602015
0,2.22222,0,-0.257039
0,2.22222,0.555556,-0.203547
0,2.22222,1.11111,-0.161187
0,2.22222,1.66667,-0.127642
0,2.22222,2.22222,-0.101078
0,2.22222,2.77778,-0.0800429
0,2.22222,3.33333,-0.0633851
0,2.22222,3.88889,-0.050194
0,2.22222,4.44444,-0.0397481
0,2.22222,5,-0.0314761
0,2.77778,0,0.0883333
0,2.77778,0.555556,0.0699502
0,2.77778,1.11111,0.0553929
0,2.77778,1.66667,0.043865
0,2.77778,2.22222,0.0347363
0,2.77778,2.77778,0.0275073
0,2.77778,3.33333,0.0217827
0,2.77778,3.88889,0.0172495
0,2.77778,4.44444,0.0136597
0,2.77778,5,0.010817
0,3.33333,0,0.236775
0,3.33333,0.555556,0.1875
0,3.33333,1.11111,0.148479
0,3.33333,1.66667,0.117579
0,3.33333,2.22222,0.0931096
0,3.33333,2.77778,0.0737325
0,3.33333,3.33333,0.058388
0,3.33333,3.88889,0.0462369
0,3.33333,4.44444,0.0366145
0,3.33333,5,0.0289946
0,3.88889,0,0.14722
0,3.88889,0.555556,0.116582
0,3.88889,1.11111,0.0923202
0,3.88889,1.66667,0.0731074
0,3.88889,2.22222,0.057893
0,3.88889,2.77778,0.0458448
0,3.88889,3.33333,0.0363041
0,3.88889,3.88889,0.0287488
0,3.88889,4.44444,0.0227659
0,3.88889,5,0.0180281
0,4.44444,0,-0.0224999
0,4.44444,0.555556,-0.0178174
0,4.44444,1.11111,-0.0141094
0,4.44444,1.66667,-0.0111731
0,4.44444,2.22222,-0.00884787
0,4.44444,2.77778,-0.00700653
0,4.44444,3.33333,-0.0055484
0,4.44444,3.88889,-0.00439372
0,4.44444,4.44444,-0.00347934
0,4.44444,5,-0.00275525
0,5,0,-0.111574
0,5,0.555556,-0.0883541
0,5,1.11111,-0.0699667
0,5,1.66667,-0.0554059
0,5,2.22222,-0.0438753
0,5,2.77778,-0.0347444
0,5,3.33333,-0.0275137
0,5,3.88889,-0.0217879
0,5,4.44444,-0.0172536
0,5,5,-0.0136629
1,0,0,0.713405
1,0,0.555556,0.564938
1,0,1.11111,0.447369
1,0,1.66667,0.354266
1,0,2.22222,0.28054
1,0,2.77778,0.222157
1,0,3.33333,0.175924
1,0,3.88889,0.139312
1,0,4.44444,0.11032
1,0,5,0.087361
1,0.555556,0,0.548921
1,0.555556,0.555556,0.434685
1,0.555556,1.11111,0.344222
1,0.555556,1.66667,0.272586
1,0.555556,2.22222,0.215858
1,0.555556,2.77778,0.170936
1,0.555556,3.33333,0.135362
1,0.555556,3.88889,0.107192
1,0.555556,4.44444,0.0848842
1,0.555556,5,0.0672189
1,1.11111,0,0.0223539
1,1.11111,0.555556,0.0177019
1,1.11111,1.11111,0.0140179
1,1.11111,1.66667,0.0111006
1,1.11111,2.22222,0.00879048
1,1.11111,2.77778,0.00696109
1,1.11111,3.33333,0.00551241
1,1.11111,3.88889,0.00436522
1,1.11111,4.44444,0.00345677
1,1.11111,5,0.00273738
1,1.66667,0,-0.325094
1,1.66667,0.555556,-0.257438
1,1.66667,1.11111,-0.203863
1,1.66667,1.66667,-0.161437
1,1.66667,2.22222,-0.12784
1,1.66667,2.77778,-0.101235
1,1.66667,3.33333,-0.0801671
1,1.66667,3.88889,-0.0634835
1,1.66667,4.44444,-0.0502719
1,1.66667,5,-0.0398098
1,2.22222,0,-0.292207
1,2.22222,0.555556,-0.231396
1,2.22222,1.11111,-0.18324
1,2.22222,1.66667,-0.145106
1,2.22222,2.22222,-0.114908
1,2.22222,2.77778,-0.0909942
1,2.22222,3.33333,-0.0720573
1,2.22222,3.88889,-0.0570615
1,2.22222,4.44444,-0.0451864
1,2.22222,5,-0.0357826
