t,x,y,z
0,0,0,1
0,0,0.555556,0.967216
0,0,1.11111,0.935507
0,0,1.66667,0.904837
0,0,2.22222,0.875173
0,0,2.77778,0.846482
0,0,3.33333,0.818731
0,0,3.88889,0.79189
0,0,4.44444,0.765928
0,0,5,0.740818
0,0.555556,0,0.873251
0,0.555556,0.555556,0.844622
0,0.555556,1.11111,0.816932
0,0.555556,1.66667,0.79015
0,0.555556,2.22222,0.764246
0,0.555556,2.77778,0.739191
0,0.555556,3.33333,0.714957
0,0.555556,3.88889,0.691518
0,0.555556,4.44444,0.668847
0,0.555556,5,0.64692
0,1.11111,0,0.589627
0,1.11111,0.555556,0.570296
0,1.11111,1.11111,0.5516
0,1.11111,1.66667,0.533516
0,1.11111,2.22222,0.516026
0,1.11111,2.77778,0.499108
0,1.11111,3.33333,0.482746
0,1.11111,3.88889,0.466919
0,1.11111,4.44444,0.451612
0,1.11111,5,0.436806
0,1.66667,0,0.212852
0,1.66667,0.555556,0.205874
0,1.66667,1.11111,0.199124
0,1.66667,1.66667,0.192596
0,1.66667,2.22222,0.186282
0,1.66667,2.77778,0.180175
0,1.66667,3.33333,0.174268
0,1.66667,3.88889,0.168555
0,1.66667,4.44444,0.163029
0,1.66667,5,0.157684
0,2.22222,0,-0.179854
0,2.22222,0.555556,-0.173958
0,2.22222,1.11111,-0.168255
0,2.22222,1.66667,-0.162739
0,2.22222,2.22222,-0.157403
0,2.22222,2.77778,-0.152243
0,2.22222,3.33333,-0.147252
0,2.22222,3.88889,-0.142425
0,2.22222,4.44444,-0.137755
0,2.22222,5,-0.133239
0,2.77778,0,-0.51324
0,2.77778,0.555556,-0.496414
0,2.77778,1.11111,-0.480139
0,2.77778,1.66667,-0.464398
0,2.77778,2.22222,-0.449174
0,2.77778,2.77778,-0.434448
0,2.77778,3.33333,-0.420205
0,2.77778,3.88889,-0.406429
0,2.77778,4.44444,-0.393105
0,2.77778,5,-0.380217
0,3.33333,0,-0.728119
0,3.33333,0.555556,-0.704248
0,3.33333,1.11111,-0.68116
0,3.33333,1.66667,-0.658829
0,3.33333,2.22222,-0.63723
0,3.33333,2.77778,-0.616339
0,3.33333,3.33333,-0.596133
0,3.33333,3.88889,-0.57659
0,3.33333,4.44444,-0.557687
0,3.33333,5,-0.539404
0,3.88889,0,-0.791522
0,3.88889,0.555556,-0.765573
0,3.88889,1.11111,-0.740474
0,3.88889,1.66667,-0.716198
0,3.88889,2.22222,-0.692719
0,3.88889,2.77778,-0.670009
0,3.88889,3.33333,-0.648043
0,3.88889,3.88889,-0.626798
0,3.88889,4.44444,-0.606249
0,3.88889,5,-0.586374
0,4.44444,0,-0.701233
0,4.44444,0.555556,-0.678244
0,4.44444,1.11111,-0.656009
0,4.44444,1.66667,-0.634502
0,4.44444,2.22222,-0.613701
0,4.44444,2.77778,-0.593581
0,4.44444,3.33333,-0.574121
0,4.44444,3.88889,-0.555299
0,4.44444,4.44444,-0.537095
0,4.44444,5,-0.519486
0,5,0,-0.484231
0,5,0.555556,-0.468356
0,5,1.11111,-0.453002
0,5,1.66667,-0.43815
0,5,2.22222,-0.423786
0,5,2.77778,-0.409893
0,5,3.33333,-0.396455
0,5,3.88889,-0.383458
0,5,4.44444,-0.370886
0,5,5,-0.358727
1,0,0,0.873251
1,0,0.555556,0.844622
1,0,1.11111,0.816932
1,0,1.66667,0.79015
1,0,2.22222,0.764246
1,0,2.77778,0.739191
1,0,3.33333,0.714957
1,0,3.88889,0.691518
1,0,4.44444,0.668847
1,0,5,0.64692
1,0.555556,0,0.762567
1,0.555556,0.555556,0.737567
1,0.555556,1.11111,0.713387
1,0.555556,1.66667,0.689999
1,0.555556,2.22222,0.667378
1,0.555556,2.77778,0.645499
1,0.555556,3.33333,0.624337
1,0.555556,3.88889,0.603869
1,0.555556,4.44444,0.584072
1,0.555556,5,0.564923
1,1.11111,0,0.514892
1,1.11111,0.555556,0.498012
1,1.11111,1.11111,0.481685
1,1.11111,1.66667,0.465894
1,1.11111,2.22222,0.45062
1,1.11111,2.77778,0.435847
1,1.11111,3.33333,0.421558
1,1.11111,3.88889,0.407738
1,1.11111,4.44444,0.39437
1,1.11111,5,0.381441
1,1.66667,0,0.185873
1,1.66667,0.555556,0.179779
1,1.66667,1.11111,0.173885
1,1.66667,1.66667,0.168185
1,1.66667,2.22222,0.162671
1,1.66667,2.77778,0.157338
1,1.66667,3.33333,0.15218
1,1.66667,3.88889,0.147191
1,1.66667,4.44444,0.142365
1,1.66667,5,0.137698
1,2.22222,0,-0.157058
1,2.22222,0.555556,-0.151909
1,2.22222,1.11111,-0.146929
1,2.22222,1.66667,-0.142112
1,2.22222,2.22222,-0.137453
1,2.22222,2.77778,-0.132946
1,2.22222,3.33333,-0.128588
1,2.22222,3.88889,-0.124372
1,2.22222,4.44444,-0.120295
1,2.22222,5,-0.116351
1,2.77778,0,-0.448187
1,2.77778,0.555556,-0.433494
1,2.77778,1.11111,-0.419282
1,2.77778,1.66667,-0.405536
1,2.77778,2.22222,-0.392241
1,2.77778,2.77778,-0.379382
1,2.77778,3.33333,-0.366944
1,2.77778,3.88889,-0.354914
1,2.77778,4.44444,-0.343279
1,2.77778,5,-0.332025
1,3.33333,0,-0.63583
1,3.33333,0.555556,-0.614985
1,3.33333,1.11111,-0.594824
1,3.33333,1.66667,-0.575323
1,3.33333,2.22222,-0.556462
1,3.33333,2.77778,-0.538219
1,3.33333,3.33333,-0.520574
1,3.33333,3.88889,-0.503508
1,3.33333,4.44444,-0.487001
1,3.33333,5,-0.471035
1,3.88889,0,-0.691197
1,3.88889,0.555556,-0.668537
1,3.88889,1.11111,-0.64662
1,3.88889,1.66667,-0.625421
1,3.88889,2.22222,-0.604917
1,3.88889,2.77778,-0.585086
1,3.88889,3.33333,-0.565904
1,3.88889,3.88889,-0.547352
1,3.88889,4.44444,-0.529407
1,3.88889,5,-0.512051
1,4.44444,0,-0.612353
1,4.44444,0.555556,-0.592277
1,4.44444,1.11111,-0.57286
1,4.44444,1.66667,-0.55408
1,4.44444,2.22222,-0.535915
1,4.44444,2.77778,-0.518345
1,4.44444,3.33333,-0.501352
1,4.44444,3.88889,-0.484916
1,4.44444,4.44444,-0.469018
1,4.44444,5,-0.453642
1,5,0,-0.422855
1,5,0.555556,-0.408992
1,5,1.11111,-0.395584
1,5,1.66667,-0.382615
1,5,2.22222,-0.370072
1,5,2.77778,-0.357939
1,5,3.33333,-0.346205
1,5,3.88889,-0.334855
1,5,4.44444,-0.323877
1,5,5,-0.313259
2,0,0,0.589627
2,0,0.555556,0.570296
2,0,1.11111,0.5516
2,0,1.66667,0.533516
2,0,2.22222,0.516026
2,0,2.77778,0.499108
2,0,3.33333,0.482746
2,0,3.88889,0.466919
2,0,4.44444,0.451612
2,0,5,0.436806
2,0.555556,0,0.514892
2,0.555556,0.555556,0.498012
2,0.555556,1.11111,0.481685
2,0.555556,1.66667,0.465894
2,0.555556,2.22222,0.45062
2,0.555556,2.77778,0.435847
2,0.555556,3.33333,0.421558
2,0.555556,3.88889,0.407738
2,0.555556,4.44444,0.39437
2,0.555556,5,0.381441
2,1.11111,0,0.34766
2,1.11111,0.555556,0.336262
2,1.11111,1.11111,0.325238
2,1.11111,1.66667,0.314575
2,1.11111,2.22222,0.304262
2,1.11111,2.77778,0.294288
2,1.11111,3.33333,0.28464
2,1.11111,3.88889,0.275308
2,1.11111,4.44444,0.266282
2,1.11111,5,0.257553
2,1.66667,0,0.125503
2,1.66667,0.555556,0.121389
2,1.66667,1.11111,0.117409
2,1.66667,1.66667,0.11356
2,1.66667,2.22222,0.109837
2,1.66667,2.77778,0.106236
2,1.66667,3.33333,0.102753
2,1.66667,3.88889,0.0993846
2,1.66667,4.44444,0.0961264
2,1.66667,5,0.092975
2,2.22222,0,-0.106047
2,2.22222,0.555556,-0.10257
2,2.22222,1.11111,-0.0992074
2,2.22222,1.66667,-0.095955
2,2.22222,2.22222,-0.0928093
2,2.22222,2.77778,-0.0897666
2,2.22222,3.33333,-0.0868237
2,2.22222,3.88889,-0.0839773
2,2.22222,4.44444,-0.0812242
2,2.22222,5,-0.0785613
2,2.77778,0,-0.30262
2,2.77778,0.555556,-0.292699
2,2.77778,1.11111,-0.283103
2,2.77778,1.66667,-0.273822
2,2.77778,2.22222,-0.264845
2,2.77778,2.77778,-0.256162
2,2.77778,3.33333,-0.247764
2,2.77778,3.88889,-0.239641
2,2.77778,4.44444,-0.231785
2,2.77778,5,-0.224186
2,3.33333,0,-0.429318
2,3.33333,0.555556,-0.415244
2,3.33333,1.11111,-0.40163
2,3.33333,1.66667,-0.388463
2,3.33333,2.22222,-0.375728
2,3.33333,2.77778,-0.36341
2,3.33333,3.33333,-0.351496
2,3.33333,3.88889,-0.339973
2,3.33333,4.44444,-0.328827
2,3.33333,5,-0.318047
2,3.88889,0,-0.466702
2,3.88889,0.555556,-0.451402
2,3.88889,1.11111,-0.436603
2,3.88889,1.66667,-0.42229
2,3.88889,2.22222,-0.408445
2,3.88889,2.77778,-0.395055
2,3.88889,3.33333,-0.382104
2,3.88889,3.88889,-0.369577
2,3.88889,4.44444,-0.357461
2,3.88889,5,-0.345742
2,4.44444,0,-0.413466
2,4.44444,0.555556,-0.399911
2,4.44444,1.11111,-0.3868
2,4.44444,1.66667,-0.374119
2,4.44444,2.22222,-0.361854
2,4.44444,2.77778,-0.349991
2,4.44444,3.33333,-0.338517
2,4.44444,3.88889,-0.327419
2,4.44444,4.44444,-0.316685
2,4.44444,5,-0.306303
2,5,0,-0.285516
2,5,0.555556,-0.276155
2,5,1.11111,-0.267102
2,5,1.66667,-0.258345
2,5,2.22222,-0.249876
2,5,2.77778,-0.241684
2,5,3.33333,-0.23376
2,5,3.88889,-0.226097
2,5,4.44444,-0.218684
2,5,5,-0.211515
3,0,0,0.212852
3,0,0.555556,0.205874
3,0,1.11111,0.199124
3,0,1.66667,0.192596
3,0,2.22222,0.186282
3,0,2.77778,0.180175
3,0,3.33333,0.174268
3,0,3.88889,0.168555
3,0,4.44444,0.163029
3,0,5,0.157684
3,0.555556,0,0.185873
3,0.555556,0.555556,0.179779
3,0.555556,1.11111,0.173885
3,0.555556,1.66667,0.168185
3,0.555556,2.22222,0.162671
3,0.555556,2.77778,0.157338
3,0.555556,3.33333,0.15218
3,0.555556,3.88889,0.147191
3,0.555556,4.44444,0.142365
3,0.555556,5,0.137698
3,1.11111,0,0.125503
3,1.11111,0.555556,0.121389
3,1.11111,1.11111,0.117409
3,1.11111,1.66667,0.11356
3,1.11111,2.22222,0.109837
3,1.11111,2.77778,0.106236
3,1.11111,3.33333,0.102753
3,1.11111,3.88889,0.0993846
3,1.11111,4.44444,0.0961264
3,1.11111,5,0.092975
3,1.66667,0,0.0453059
3,1.66667,0.555556,0.0438206
3,1.66667,1.11111,0.042384
3,1.66667,1.66667,0.0409944
3,1.66667,2.22222,0.0396505
3,1.66667,2.77778,0.0383506
3,1.66667,3.33333,0.0370933
3,1.66667,3.88889,0.0358772
3,1.66667,4.44444,0.0347011
3,1.66667,5,0.0335634
3,2.22222,0,-0.0382822
3,2.22222,0.555556,-0.0370272
3,2.22222,1.11111,-0.0358133
3,2.22222,1.66667,-0.0346392
3,2.22222,2.22222,-0.0335036
3,2.22222,2.77778,-0.0324052
3,2.22222,3.33333,-0.0313428
3,2.22222,3.88889,-0.0303153
3,2.22222,4.44444,-0.0293215
3,2.22222,5,-0.0283602
3,2.77778,0,-0.109244
3,2.77778,0.555556,-0.105663
3,2.77778,1.11111,-0.102198
3,2.77778,1.66667,-0.098848
3,2.77778,2.22222,-0.0956074
3,2.77778,2.77778,-0.092473
3,2.77778,3.33333,-0.0894414
3,2.77778,3.88889,-0.0865091
3,2.77778,4.44444,-0.083673
3,2.77778,5,-0.0809299
3,3.33333,0,-0.154981
3,3.33333,0.555556,-0.149901
3,3.33333,1.11111,-0.144986
3,3.33333,1.66667,-0.140233
3,3.33333,2.22222,-0.135636
3,3.33333,2.77778,-0.131189
3,3.33333,3.33333,-0.126888
3,3.33333,3.88889,-0.122728
3,3.33333,4.44444,-0.118705
3,3.33333,5,-0.114813
3,3.88889,0,-0.168477
3,3.88889,0.555556,-0.162953
3,3.88889,1.11111,-0.157611
3,3.88889,1.66667,-0.152444
3,3.88889,2.22222,-0.147446
3,3.88889,2.77778,-0.142613
3,3.88889,3.33333,-0.137937
3,3.88889,3.88889,-0.133415
